,Date,Transaction Type,Num,Name,Memo/Description,Split,Amount,Balance,category,category_level,item,Account_Type
10,2024-01-28,Deposit,,Larry Metzler,"Deposit Home Banking Transfer RE InternetBanking, Deposit, Processed, Transfer",1002 ENT Checking (Keystone),205.0,2347.70,Income:Tithe:General Tithe,3,General Tithe,Income
11,2024-01-23,Expense,,Guide One,"GuideOne  : ONEINC2   : F8001467 ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),1128.0,1128.00,Expenses:Facilities:Building/Office:Church Insurance,4,Church Insurance,Expenses
12,2024-01-02,Expense,,CenturyLink,"CENTURYLINK LUMEN 800-244-1111 L BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),81.23,81.23,Expenses:Facilities:Building/Office:Communications,4,Communications,Expenses
13,2024-01-30,Expense,,CenturyLink,"CENTURYLINK LUMEN 800-244-1111 L BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),81.23,162.46,Expenses:Facilities:Building/Office:Communications,4,Communications,Expenses
14,2024-01-19,Expense,,,W2 Electronic Filing,1002 ENT Checking (Keystone),12.5,12.50,Expenses:Facilities:Building/Office:Office Supplies,4,Office Supplies,Expenses
15,2024-01-24,Expense,,,"PNP BILLPAYMENT  : 012224EK   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),24.05,24.05,Expenses:Facilities:Government/Professional Fees:City Watershed Fees,4,City Watershed Fees,Expenses
16,2024-01-26,Expense,,Colo,"Colo Spgs Utilit  : PAYMENT   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),399.59,399.59,Expenses:Facilities:Government/Professional Fees:Utilities,4,Utilities,Expenses
17,2024-01-21,Expense,,Wal-Mart,"WM SUPERCENTER #3582 Wal-Mart Su POS, Withdrawal, Processed",1002 ENT Checking (Keystone),34.84,34.84,Expenses:Facilities:Hospitality:Food for Events/Sunday Morning,4,Food for Events/Sunday Morning,Expenses
18,2024-01-01,Expense,,Google,"Visa Check  GOOGLE *GSUITE_mykey DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),18.55,18.55,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
19,2024-01-03,Expense,,,"THEEVENTSCALPLUGINS EVNT.IS MI C BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),99.0,117.55,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
20,2024-01-15,Expense,,The Corporate Thread,"Visa Check  RESTREAM, INC. RESTR DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),19.95,137.50,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
21,2024-01-15,Expense,,Spotify,"SPOTIFY 877-778-1161 NY Card 571 BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),11.89,149.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
22,2024-01-18,Expense,,Renewedvision Com G,"Visa Check  RENEWEDVISION.COM SF DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),189.0,338.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
23,2024-01-18,Expense,,,"Visa Check  GOOGLE *YouTubePremi DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.0,353.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
24,2024-01-22,Expense,,,"Visa Check  CONVERTKIT EMAIL HTT DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.46,368.85,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
25,2024-01-28,Expense,,Planning Center Ca,"PLANNINGCENTERBILL.COM PLANNINGC BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),48.0,416.85,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
26,2024-01-08,Expense,,Amazon,"Visa Check  Amazon.com*TK3870VA1 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),82.53,82.53,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
27,2024-01-10,Expense,,,"Visa Check  SP SUNDAY SOUNDS SUN DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),120.0,202.53,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
28,2024-01-13,Expense,,Hobby Lobby,"HOBBYLOBBY 5994 BARNES ROAD COLO POS, Withdrawal, Processed",1002 ENT Checking (Keystone),43.27,245.80,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
29,2024-01-14,Expense,,,"Visa Check  WORLD MARKET #201 CO DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),43.26,289.06,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
30,2024-01-15,Expense,,Facebk Gifts Www,"Visa Check  RIGHTNOW MEDIA WWW.R DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),59.99,59.99,Expenses:Ministry:Resources:Right Now Media,4,Right Now Media,Expenses
31,2024-01-07,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,300.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
32,2024-01-14,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,600.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
33,2024-01-21,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,900.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
34,2024-01-28,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,1200.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
35,2024-02-29,Deposit,,,"Deposit Dividend 0.050% APY Earn Dividend, Deposit, Processed",ENT Savings (Keystone),0.18,.18,Income:Interest Earned,2,Interest Earned,Income
36,2024-02-02,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),200.0,200.00,Income:Tithe:General Tithe,3,General Tithe,Income
37,2024-02-04,Deposit,,Larry Metzler,"Deposit Home Banking Transfer RE InternetBanking, Deposit, Processed, Transfer",1002 ENT Checking (Keystone),255.0,455.00,Income:Tithe:General Tithe,3,General Tithe,Income
38,2024-02-05,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),254.1,709.10,Income:Tithe:General Tithe,3,General Tithe,Income
39,2024-02-06,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),100.0,809.10,Income:Tithe:General Tithe,3,General Tithe,Income
40,2024-02-07,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),5.0,814.10,Income:Tithe:General Tithe,3,General Tithe,Income
41,2024-02-09,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),100.0,914.10,Income:Tithe:General Tithe,3,General Tithe,Income
42,2024-02-13,Deposit,,,"Tithe.ly  : Tithe.ly   : 1800948 ACH, Deposit, Processed",1002 ENT Checking (Keystone),50.0,964.10,Income:Tithe:General Tithe,3,General Tithe,Income
43,2024-02-18,Deposit,,Larry Metzler,"Deposit Home Banking Transfer RE InternetBanking, Deposit, Processed, Transfer",1002 ENT Checking (Keystone),220.0,1184.10,Income:Tithe:General Tithe,3,General Tithe,Income
44,2024-02-20,Deposit,,,"Deposit   Bulk Checks         33 Deposit, Processed",1002 ENT Checking (Keystone),344.06,1528.16,Income:Tithe:General Tithe,3,General Tithe,Income
45,2024-02-20,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),254.1,1782.26,Income:Tithe:General Tithe,3,General Tithe,Income
46,2024-02-21,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),535.2,2317.46,Income:Tithe:General Tithe,3,General Tithe,Income
47,2024-02-22,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),243.9,2561.36,Income:Tithe:General Tithe,3,General Tithe,Income
48,2024-02-27,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),10.0,2571.36,Income:Tithe:General Tithe,3,General Tithe,Income
49,2024-02-28,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),395.7,2967.06,Income:Tithe:General Tithe,3,General Tithe,Income
50,2024-02-28,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),264.35,3231.41,Income:Tithe:General Tithe,3,General Tithe,Income
51,2024-02-02,Expense,,,"SOCO WASTE  : EFT   : XXXXXX3620 ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),113.85,113.85,Expenses:Facilities:Building/Office:Trash,4,Trash,Expenses
52,2024-02-22,Expense,,,"PNP BILLPAYMENT  : 022024EK   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),24.05,24.05,Expenses:Facilities:Government/Professional Fees:City Watershed Fees,4,City Watershed Fees,Expenses
53,2024-02-12,Expense,,Nooks + Crannies Cleaning Co,"Visa Check  VENMO *Alyssa Markle DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),300.0,300.00,Expenses:Facilities:Government/Professional Fees:Cleaning Service,4,Cleaning Service,Expenses
54,2024-02-20,Check,343,Nature's Finest LLC,Check #343 Inv 783,1002 ENT Checking (Keystone),270.0,270.00,Expenses:Facilities:Government/Professional Fees:Lawn/Snow,4,Lawn/Snow,Expenses
55,2024-02-27,Expense,,Colo,"Colo Spgs Utilit  : PAYMENT   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),399.77,399.77,Expenses:Facilities:Government/Professional Fees:Utilities,4,Utilities,Expenses
56,2024-02-25,Expense,,Chick-Fil-A,Volunteer appreciation food,1002 ENT Checking (Keystone),155.81,155.81,Expenses:Facilities:Hospitality:Food for Events/Sunday Morning,4,Food for Events/Sunday Morning,Expenses
57,2024-02-01,Expense,,Google,"Visa Check  GOOGLE*GSUITE MYKEYS DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),18.55,18.55,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
58,2024-02-15,Expense,,Spotify,"SPOTIFY 877-778-1161 NY Card 571 BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),11.89,30.44,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
59,2024-02-15,Expense,,The Corporate Thread,"Visa Check  RESTREAM, INC. RESTR DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),19.95,50.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
60,2024-02-18,Expense,,,"Visa Check  GOOGLE *YouTubePremi DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.0,65.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
61,2024-02-22,Expense,,,"Visa Check  CONVERTKIT EMAIL HTT DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.46,80.85,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
62,2024-02-28,Expense,,Planning Center Ca,"PLANNINGCENTERBILL.COM PLANNINGC BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),48.0,128.85,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
63,2024-02-06,Expense,,Amazon,"Visa Check  AMZN Mktp US*RB1798G DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),9.92,9.92,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
64,2024-02-15,Expense,,,"Visa Check  ZAPATA 2 LLC COLORAD DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),42.99,52.91,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
65,2024-02-22,Expense,,Amazon,"Visa Check  AMZN Mktp US*RW49H3Y DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),19.42,72.33,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
66,2024-02-22,Expense,,Amazon,"Visa Check  AMZN Mktp US*RW9GF5R DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),24.07,96.40,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
67,2024-02-24,Expense,,Wal-Mart,"WAL-MART #3582 1575 SPACE CENTER POS, Withdrawal, Processed",1002 ENT Checking (Keystone),36.41,132.81,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
68,2024-02-04,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,300.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
69,2024-02-11,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,600.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
70,2024-02-18,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,900.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
71,2024-02-25,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,1200.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
72,2024-03-31,Deposit,,,"Deposit Dividend 0.050% APY Earn Dividend, Deposit, Processed",ENT Savings (Keystone),0.19,.19,Income:Interest Earned,2,Interest Earned,Income
73,2024-03-03,Deposit,,Larry Metzler,"Deposit Home Banking Transfer RE InternetBanking, Deposit, Processed, Transfer",1002 ENT Checking (Keystone),460.0,460.00,Income:Tithe:General Tithe,3,General Tithe,Income
74,2024-03-04,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),200.0,660.00,Income:Tithe:General Tithe,3,General Tithe,Income
75,2024-03-05,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),429.1,1089.10,Income:Tithe:General Tithe,3,General Tithe,Income
76,2024-03-06,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),10.0,1099.10,Income:Tithe:General Tithe,3,General Tithe,Income
77,2024-03-12,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),40.0,1139.10,Income:Tithe:General Tithe,3,General Tithe,Income
78,2024-03-13,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),250.0,1389.10,Income:Tithe:General Tithe,3,General Tithe,Income
79,2024-03-17,Deposit,,Larry Metzler,metzler direct deposit,1002 ENT Checking (Keystone),220.0,1609.10,Income:Tithe:General Tithe,3,General Tithe,Income
80,2024-03-19,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),739.3,2348.40,Income:Tithe:General Tithe,3,General Tithe,Income
81,2024-03-20,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),243.9,2592.30,Income:Tithe:General Tithe,3,General Tithe,Income
82,2024-03-23,Deposit,,,Manual tithe,1002 ENT Checking (Keystone),300.0,2892.30,Income:Tithe:General Tithe,3,General Tithe,Income
83,2024-03-23,Deposit,,,Manual Tithe,1002 ENT Checking (Keystone),339.19,3231.49,Income:Tithe:General Tithe,3,General Tithe,Income
84,2024-03-25,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),50.0,3281.49,Income:Tithe:General Tithe,3,General Tithe,Income
85,2024-03-31,Deposit,,Larry Metzler,"Deposit Home Banking Transfer RE InternetBanking, Deposit, Processed, Transfer",1002 ENT Checking (Keystone),210.0,3491.49,Income:Tithe:General Tithe,3,General Tithe,Income
86,2024-03-04,Expense,,CenturyLink,"CENTURYLINK LUMEN 800-244-1111 L BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),81.23,81.23,Expenses:Facilities:Building/Office:Communications,4,Communications,Expenses
87,2024-03-22,Expense,,,"PNP BILLPAYMENT  : 032024EK   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),24.05,24.05,Expenses:Facilities:Government/Professional Fees:City Watershed Fees,4,City Watershed Fees,Expenses
88,2024-03-22,Check,344,Nature's Finest LLC,Snow plow bill,1002 ENT Checking (Keystone),400.0,400.00,Expenses:Facilities:Government/Professional Fees:Lawn/Snow,4,Lawn/Snow,Expenses
89,2024-03-27,Expense,,Colo,"Colo Spgs Utilit  : PAYMENT   : ACH, Withdrawal, Processed",1002 ENT Checking (Keystone),309.69,309.69,Expenses:Facilities:Government/Professional Fees:Utilities,4,Utilities,Expenses
90,2024-03-01,Expense,,Google,"Visa Check  GOOGLE GSUITE_mykeys DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),18.55,18.55,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
91,2024-03-15,Expense,,Spotify,"SPOTIFY 877-778-1161 NY Card 571 BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),11.89,30.44,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
92,2024-03-15,Expense,,The Corporate Thread,"Visa Check  RESTREAM, INC. RESTR DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),19.95,50.39,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
93,2024-03-18,Expense,,,"Visa Check  GOOGLE *YouTubePremi DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.14,65.53,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
94,2024-03-28,Expense,,Planning Center Ca,"PLANNINGCENTERBILL.COM PLANNINGC BillPayment, Withdrawal, Processed",1002 ENT Checking (Keystone),48.0,113.53,Expenses:Facilities:Software and Subscriptions,3,Software and Subscriptions,Expenses
95,2024-03-17,Expense,,,Jan-Feb charitable contribution,1002 ENT Checking (Keystone),186.0,186.00,Expenses:Giving:Charitable Contributions:Crossfire,4,Crossfire,Expenses
96,2024-03-18,Expense,,,Jan-Feb Charitable Contribution to Joel,1002 ENT Checking (Keystone),186.0,186.00,Expenses:Giving:Charitable Contributions:Joel Frees,4,Joel Frees,Expenses
97,2024-03-15,Expense,,Life Network,Jan-Feb charitable contribution,1002 ENT Checking (Keystone),186.0,186.00,Expenses:Giving:Charitable Contributions:Life Network,4,Life Network,Expenses
98,2024-03-05,Expense,,Amazon,"#000000K80J3T  AMAZON.COM SEATTL POS, Withdrawal, Processed",1002 ENT Checking (Keystone),32.72,32.72,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
99,2024-03-07,Expense,,Panera Bread,"Visa Check  PANERA BREAD #202434 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),20.91,53.63,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
100,2024-03-07,Expense,,Amazon,"Visa Check  AMZN Mktp US*R64ZQ7L DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),31.48,85.11,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
101,2024-03-09,Expense,,,"Visa Check  TST* MANNA NEW RESTA DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.35,100.46,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
102,2024-03-11,Expense,,Texas Roadhouse,"Visa Check  TEXAS ROADHOUSE #204 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),153.92,254.38,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
103,2024-03-12,Expense,,Amazon,"Visa Check  AMZN Mktp US*R623L9N DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),124.42,378.80,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
104,2024-03-17,Expense,,Amazon,"Visa Check  AMZN Mktp US*R67DX9R DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),18.65,397.45,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
105,2024-03-17,Expense,,Amazon,"Visa Check  AMZN Mktp US*RH5RK5V DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),106.27,503.72,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
106,2024-03-18,Expense,,Sweetwater Sound In,"Visa Check  SWEETWATER SOUND 260 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),429.62,933.34,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
107,2024-03-20,Expense,,Colorado Secretary of State,"Visa Check  CO SECRETARY STATE F DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),10.0,943.34,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
108,2024-03-22,Expense,,Wal-Mart,"WAL-MART #3582 1575 SPACE CENTER POS, Withdrawal, Processed",1002 ENT Checking (Keystone),37.57,980.91,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
109,2024-03-22,Expense,,,"Visa Check  CONVERTKIT EMAIL HTT DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),15.46,996.37,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
110,2024-03-23,Expense,,Amazon,"Visa Check  AMZN Mktp US*RH0GH23 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),10.01,1006.38,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
111,2024-03-24,Expense,,Amazon,"Visa Check  AMZN Mktp US*RH7ID3W DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),13.24,1019.62,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
112,2024-03-24,Expense,,Amazon,"Visa Check  AMZN Mktp US*RH4CI0E DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),19.75,1039.37,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
113,2024-03-25,Expense,,,"Visa Check  SQ *KAIROS COFFEE HO DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),13.44,1052.81,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
114,2024-03-27,Expense,,Amazon,"Visa Check  AMZN Mktp US*RH8K75I DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),35.26,1088.07,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
115,2024-03-27,Expense,,Panera Bread,"Visa Check  PANERA BREAD #202434 DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),25.64,1113.71,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
116,2024-03-30,Expense,,Hobby Lobby,"HOBBYLOBBY 5994 BARNES ROAD COLO POS, Withdrawal, Processed",1002 ENT Checking (Keystone),23.76,1137.47,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
117,2024-03-30,Expense,,Lowe's,"Visa Check  LOWES #01099* COLORA DebitCard, Withdrawal, Processed",1002 ENT Checking (Keystone),5.39,1142.86,Expenses:Ministry:Individual Ministries:Worship Expenses,4,Worship Expenses,Expenses
118,2024-03-03,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,300.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
119,2024-03-10,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,600.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
120,2024-03-17,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,900.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
121,2024-03-24,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,1200.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
122,2024-03-31,Expense,,David and Catherine Reyes,"Withdrawal Home Banking Transfer InternetBanking, Withdrawal, Processed, Transfer",1002 ENT Checking (Keystone),300.0,1500.00,Expenses:Salaries:Lead Pastor,3,Lead Pastor,Expenses
123,2024-04-02,Deposit,,,"Tithe.ly  : Tithe.ly   : 4270465 ACH, Deposit, Processed",1002 ENT Checking (Keystone),50.0,50.00,Income:Tithe:General Tithe,3,General Tithe,Income
